"","Longitude","Latitude"
"2933184",-87.636941506,41.759089096
"2933715",-87.628599988,41.707099379
"2934279",-87.652745741,41.693141811
"2934739",-87.753982363,41.931925154
"2935308",-87.667927739,41.782423623
"2935819",-87.667927739,41.782423623
"2936613",-87.667927739,41.782423623
"2937403",-87.662789811,41.806809657
"2938000",-87.730067748,41.912131362
"2938634",-87.656565269,41.766028696
"2939244",-87.614404427,41.686456426
"2939890",-87.648921643,41.895971128
"2940496",-87.559978259,41.74000968
"2941159",-87.726330444,41.873437053
"2941715",-87.629145872,41.789569094
"2942386",-87.700992581,41.789117094
"2943044",-87.710207387,41.854590973
"2943793",-87.756814803,41.942650115
"2944467",-87.755593531,41.87104407
"2945028",-87.620772103,41.695313622
"2945707",-87.640243993,41.685105781
"2946332",-87.565145758,41.758049698
"2946760",-87.565145758,41.758049698
"2947409",-87.722514831,41.886235208
"2947990",-87.687051542,41.78651202
"2948605",-87.552728046,41.742043578
"2949202",-87.697390745,41.85372763
"2949963",-87.727782402,41.870541299
"2950721",-87.725187033,41.912314178
"2951394",-87.632341337,41.756091788
"2951977",-87.586199319,41.761111214
"2952577",-87.601576814,41.752582108
"2953174",-87.713211146,41.895491073
"2953723",-87.61140996,41.756137809
"2954387",-87.61140996,41.756137809
"2954920",-87.61140996,41.756137809
"2955587",-87.61140996,41.756137809
"2956269",-87.61140996,41.756137809
"2957104",-87.624719943,41.756259091
"2957871",-87.642934736,41.787059439
"2958512",-87.682115453,42.017938476
"2959152",-87.670726607,41.893286172
"2959782",-87.651145182,41.74444837
"2960373",-87.704285796,41.778953847
"2960975",-87.731718152,41.839614953
"2961621",-87.731718152,41.839614953
"2962271",-87.731718152,41.839614953
"2963043",-87.738923419,41.902465692
"2963855",-87.552804287,41.746942674
"2964545",-87.614314304,41.681398054
"2965274",-87.55894412,41.751059505
"2965877",-87.666071973,41.80404058
"2966574",-87.620759059,41.807497906
"2967195",-87.662486137,41.899119229
"2967888",-87.710499907,41.904622947
"2968600",-87.710499907,41.904622947
"2969312",-87.730897667,41.869959435
"2969946",-87.687799543,41.779202686
"2970610",-87.665211556,41.771405984
"2971448",-87.57646936,41.772532392
"2972243",-87.681004811,41.776771281
"2972969",-87.607964681,41.685474655
"2973622",-87.658991618,41.862224347
"2974315",-87.551376823,41.735025437
"2974895",-87.628339611,41.77178664
"2975575",-87.735365532,41.839655954
"2976220",-87.604061451,41.725711923
"2976980",-87.689153236,41.777289278
"2977668",-87.567273029,41.739737464
"2978388",-87.759124629,41.890019061
"2978992",-87.653067239,41.726210086
"2979771",-87.638051674,41.785262668
"2980569",-87.652454252,41.747831634
"2981339",-87.613855034,41.808895616
"2982109",-87.653397159,41.976419766
"2982853",-87.656913808,41.964522471
"2983535",-87.606385112,41.657321469
"2984244",-87.611967762,41.777996879
"2984813",-87.642943662,41.755458933
"2985517",-87.672080729,41.853145617
"2986101",-87.617100235,41.798446475
"2986846",-87.616795523,41.673548279
"2987482",-87.560803831,41.725849118
"2988318",-87.596962971,41.76186678
"2989099",-87.563828953,41.752920028
"2989791",-87.590417998,41.768743011
"2990424",-87.600988317,41.728261055
"2991126",-87.766718163,41.780777116
"2991761",-87.628311641,41.764632089
"2992436",-87.727624961,41.906262305
"2993011",-87.621037369,41.780048569
"2993696",-87.576911482,41.736137672
"2994333",-87.698242686,41.823627738
"2995079",-87.61693885,41.798448213
"2995706",-87.666068647,41.804007629
"2996501",-87.641724455,41.787082346
"2997312",-87.663193238,42.012291804
"2998121",-87.718395294,41.930922297
"2998807",-87.574079083,41.720289807
"2999426",-87.745157085,41.811934444
"3000141",-87.70646631,41.749678569
"3000789",-87.729431395,41.84474022
"3001481",-87.750611108,41.876713223
"3002148",-87.626860911,41.841350479
"3002836",-87.763087295,41.911915895
"3003476",-87.70501127,41.961209101
"3004144",-87.69785055,41.761955918
"3004804",-87.704442616,41.920684854
"3005630",-87.558743248,41.73850297
"3006425",-87.702323689,41.876908113
"3007105",-87.673529772,41.684374113
"3007669",-87.614445382,41.733401058
"3008375",-87.67350363,42.01265614
"3008998",-87.649081973,41.713395148
"3009737",-87.639503425,41.900442597
"3010402",-87.606399702,41.726591198
"3011081",-87.675273272,41.804862058
"3011746",-87.718402758,41.766884009
"3012425",-87.562921795,41.76442078
"3013200",-87.558469238,41.75306513
"3013997",-87.625101369,41.677502212
"3014797",-87.688468342,41.776854582
"3015537",-87.66292354,41.777087068
"3016217",-87.689547062,41.905275774
"3016818",-87.552860394,41.749873967
"3017528",-87.66424283,41.780313815
"3018123",-87.561226467,41.742254682
"3018818",-87.735273766,41.895199203
"3019516",-87.759233047,41.796201308
"3020176",-87.620237184,41.770202574
"3020903",-87.624758638,41.70840401
"3021666",-87.694875346,41.877448726
"3022413",-87.667494481,41.766177629
"3023104",-87.728175008,41.843312078
"3023710",-87.619328659,41.830606764
"3024361",-87.554056467,41.752788298
"3024973",-87.614762304,41.699038675
"3025696",-87.767410907,41.919053084
"3026414",-87.562621485,41.753065615
"3027139",-87.562621485,41.753065615
"3027805",-87.562621485,41.753065615
"3028672",-87.748311371,41.897365708
"3029457",-87.584573457,41.758142277
"3030167",-87.562720324,41.758283187
"3030773",-87.688655646,41.939463836
"3031415",-87.682730505,41.806614222
"3032076",-87.652751399,41.7592497
"3032755",-87.625146923,41.773424557
"3033372",-87.629253085,41.876541001
"3034085",-87.722257276,41.85081924
"3034770",-87.702538679,41.786260554
"3035404",-87.70326286,41.783451628
"3036119",-87.70548695,41.859845219
"3036893",-87.625146923,41.773424557
"3037680",-87.666623458,41.777018037
"3038435",-87.652462374,41.863459158
"3039087",-87.69451636,41.909060383
"3039706",-87.624719943,41.756259091
"3040399",-87.610784817,41.779518014
"3041078",-87.740751105,41.873237942
"3041732",-87.663445905,41.719108386
"3042439",-87.622315729,41.788786066
"3043109",-87.626459939,41.683476765
"3043934",-87.719872545,41.838800367
"3044724",-87.623788764,41.675696574
"3045505",-87.634471127,41.818175049
"3046128",-87.699527867,41.855501258
"3046829",-87.64840801,41.696837354
"3047405",-87.642379238,41.740081936
"3047982",-87.731043403,41.896277534
